0,1,2,3,4,5,6
0.14709,0.07092,0.04688,1725.8946,1885.88946,53.60801,-9.49155
0.16675,0.07526,0.08594,1797.0916,1918.89451,47.14301,-9.75384
0.18445,0.08585,0.08008,1850.18778,1950.25235,39.18549,-8.73909
0.22791,0.09682,0.08398,1889.32171,1981.59625,52.27133,-12.0251
0.26413,0.10799,0.08008,1746.11191,1825.38068,72.76958,-8.36123
0.26413,0.09708,0.07324,1779.51476,1881.82925,47.8124,-8.51591
0.19467,0.07744,0.06152,1570.48645,1776.06926,49.8339,-6.27865
0.17432,0.07666,0.05566,1483.05113,1643.24357,65.41442,-4.25256
0.18439,0.07504,0.06055,1316.27976,1563.94182,106.87152,-4.55561
0.18439,0.07905,0.05957,1214.06976,1348.58189,160.82927,-3.99901
0.17841,0.07638,0.06055,1143.25466,1384.82468,233.28284,-6.0647
0.17841,0.06619,0.05859,1222.34943,1421.2243,209.81842,-3.7924
0.12015,0.05738,0.07129,1199.90959,1359.67758,119.9211,-6.73246
0.12015,0.04674,0.0791,1242.52582,1429.55449,85.31979,-4.28599
0.09259,0.04099,0.07227,1578.31089,1664.2339,60.04742,-3.80753
0.09259,0.03842,0.05762,1497.41477,1646.17352,147.67636,-5.74687
0.08044,0.03692,0.04199,1324.75684,1622.58714,334.33545,-4.92089
0.0614,0.03474,0.05078,1468.09328,1692.49657,226.33319,-9.18838
0.05753,0.03135,0.05664,1930.96733,2195.91186,60.26932,0.51791
0.05945,0.03358,0.04883,1977.00957,2463.46526,48.50558,-2.13669
0.08124,0.03968,0.04297,1827.6485,2265.37513,48.62954,-1.81779
0.08124,0.04782,0.07129,1657.35436,2073.49072,65.85178,-6.04891
0.08084,0.05268,0.09668,1971.63788,2277.76009,34.62086,-5.12172
0.07465,0.05656,0.07812,1854.36484,2132.06442,42.36456,-5.25882
0.0925,0.05989,0.08008,1576.31885,1874.1462,70.99332,-3.72218
0.09912,0.06315,0.08789,1529.03576,1778.59079,66.80071,-8.87788
0.1167,0.06407,0.05957,1514.43266,1856.69957,73.87035,-8.08777
0.1167,0.06229,0.04102,1245.05975,1632.69798,120.59136,-6.36261
0.09866,0.05926,0.03906,1245.47496,1656.38173,82.70329,-5.14451
0.09439,0.06308,0.0498,1204.87802,1622.8085,88.93269,-4.83038
0.09433,0.06148,0.05078,1201.77822,1615.19404,93.51485,-4.82759
0.10474,0.0541,0.04395,1216.12819,1681.34047,138.53786,-2.55174
0.10474,0.05095,0.04297,1439.25082,1887.22966,103.298,-6.47216
0.33392,0.0756,0.0293,1260.29352,1838.60499,240.56017,-4.91404
0.38962,0.1148,0.0459,1527.3132,1814.12207,106.81565,-7.28876
0.38962,0.09757,0.05273,1525.69075,1692.68266,86.95101,-6.98728
0.16714,0.07363,0.05566,954.67029,1331.64378,578.92828,-3.51678
0.16714,0.07687,0.0625,941.8761,1452.13746,574.84497,-1.19135
0.146,0.06599,0.05273,1241.61457,1697.04347,237.86829,-1.97053
0.12708,0.05898,0.04395,1402.62522,1879.22161,210.23705,-3.71408
0.1951,0.05893,0.05566,1354.07627,1986.15375,191.87213,-3.72482
0.1951,0.06128,0.05078,1245.79936,1931.81986,275.48685,-2.81504
0.09454,0.041,0.03906,1500.93029,2103.97571,101.33757,0.91943
0.09454,0.03613,0.03906,1015.73208,1702.23382,560.93292,0.2219
0.07944,0.03426,0.02637,1175.5739,1982.03919,411.93127,-0.69227
0.07944,0.03247,0.02832,961.57481,1625.3865,502.63559,-1.10339
0.06906,0.03225,0.02734,969.39187,1499.73582,753.39905,3.49003
0.0733,0.03476,0.02344,1114.51293,1542.19093,532.64294,-3.89922
0.0733,0.03444,0.02246,903.4787,1482.25276,1036.59827,-4.13016
0.0856,0.0402,0.0293,998.06629,1505.4279,863.13666,3.75547
0.0856,0.04355,0.02734,959.44177,1447.19606,1129.14417,1.27524
0.08484,0.04084,0.02246,1020.73383,1508.56416,859.35736,2.94487
0.09927,0.04256,0.02637,984.31401,1577.96009,902.46796,4.00978
0.15317,0.0577,0.03027,1122.85148,1665.75734,464.94525,-3.51825
0.15317,0.06417,0.03125,1160.37335,1434.3242,345.53735,-8.4444
0.12653,0.05576,0.03125,938.23411,1266.20875,1168.26965,-8.83797
0.11221,0.04409,0.03027,831.86559,1292.16437,1643.23389,-4.18434
0.10333,0.04459,0.03125,938.87574,1361.17887,761.78082,-1.28051
0.10333,0.0476,0.0332,952.45157,1446.74889,591.83893,1.13912
0.09546,0.04402,0.03027,880.64024,1413.30186,735.23773,-0.32456
0.09546,0.03782,0.0293,963.81529,1536.29968,539.1001,1.13858
0.07358,0.02765,0.0332,838.16855,1423.36119,751.29791,1.10298
0.27472,0.06419,0.03613,1008.64241,1568.39786,384.26389,2.594
0.34982,0.13622,0.04297,2094.6522,2152.99994,28.89963,-5.26498
0.34982,0.1548,0.05469,1780.24897,1850.85394,54.75656,-8.52733
0.29898,0.13615,0.06152,1183.12434,1311.31585,534.74957,-5.01258
0.32104,0.12552,0.0498,1064.799,1170.30553,693.18512,-5.45418
0.32104,0.11081,0.04785,1097.55237,1235.9658,785.28052,-6.3305
0.25549,0.09754,0.05371,1021.24581,1195.35922,1140.05823,-5.49866
